Data,Produto,Quantidade,Vendas
2024/2/10,Pão Francês,110,55
2024/2/10,Pão de Queijo,90,25
2024/2/10,Pão Integral,45,25
2024/2/10,Pão de Leite,65,12
2024/2/10,Croissant,35,7
2024/2/10,Pão de Milho,55,10
2024/2/10,Baguete,30,3
2024/2/10,Torta de Frango,25,7
2024/2/10,Empada de Palmito,35,11
2024/2/10,Coxinha,55,10
2024/2/10,Risole,40,12
2024/2/10,Kibe,45,3
2024/2/10,Pastel de Carne,50,4
2024/2/10,Pastel de Queijo,45,7
2024/2/10,Sanduíche Natural,30,3
2024/2/10,Café,210,95
2024/2/10,Refrigerante,110,12
2024/2/10,Água Mineral,130,12
2024/2/10,Suco de Laranja,90,12
2024/2/10,Leite,65,7
2024/2/10,Bolo de Chocolate,35,10
2024/2/10,Bolo de Cenoura,25,7
2024/2/10,Bolo de Fubá,30,12
2024/2/10,Biscoito de Polvilho,75,25
2024/2/10,Farinha de Trigo,55,35
2024/2/10,Açúcar,100,12
2024/2/10,Arroz,65,3
2024/2/10,Feijão,55,4
2024/2/10,Macarrão,50,3
2024/2/10,Óleo de Cozinha,85,3
2024/2/10,Margarina,45,7
2024/2/10,Manteiga,40,7
2024/2/10,Presunto,5kg,1.8kg
2024/2/10,Queijo Mussarela,4kg,2.8kg
2024/2/10,Queijo Prato,3kg,1.6kg
2024/2/10,Açúcar,25,4
2024/2/10,Ovos,150,3
2024/2/10,Achocolatado,60,6
2024/2/10,Óleo de Cozinha,15,3
2024/2/10,Mortadela,6kg,1.7kg
